ResponseId,DistributionChannel,UserLanguage,have_phone,have_smartphone,contact_parent_ease,phone_usage_bring_school,tablet_usage_bring_school,laptop_usage_bring_school,smartwatch_usage_bring_school,other_usage_bring_school,other_usage_bring_school_TEXT,phone_usage_school_purposes,tablet_usage_school_purposes,laptop_usage_school_purposes,smartwatch_usage_school_purposes,other_usage_school_purposes,other_usage_school_purposes_TEXT,phone_usage_personal_reasons,tablet_usage_personal_reasons,laptop_usage_personal_reasons,smartwatch_usage_personal_reasons,other_usage_personal_reasons,other_usage_personal_reasons_TEXT,time_spent_hours_phone,time_spent_minutes_phone,fomo,have_job,num_boss_contact_1,num_parent_contact_1,pif_when,pif_when_10_TEXT,pif_how,pif_how_15_TEXT,pif_satisfied,pif_enforcement,pif_noncompliance,pif_opinion,policy_opinion_open,school_engagement_1,school_engagement_2,school_engagement_3,school_engagement_4,school_engagement_5,SESQ_ENG_34,SESQ_ENG_7,SESQ_ENG_8,SESQ_ENG_9,SESQ_ENG_10,SESQ_ENG_11,SESQ_ENG_12,SESQ_ENG_13,SESQ_ENG_15,SESQ_ENG_16,SESQ_ENG_17,SESQ_ENG_18,SESQ_ENG_20,SESQ_ENG_22,friendship_quality_1,friendship_quality_2,friendship_quality_3,friendship_quality_4,friendship_quality_5,friendship_quality_6,friendship_quality_7,friendship_quality_8,lunchtime_friends,num_bathroom_1,bathroom_reason,bathroom_reason_6_TEXT,hrs_sleep_1,sleep_quality_1,sleep_quality_2,num_days_physical,num_sports_team,esteem_satisfaction_1,esteem_satisfaction_2,esteem_satisfaction_3,esteem_satisfaction_4,esteem_satisfaction_5,esteem_satisfaction_6,social_anxiety_1,social_anxiety_2,social_anxiety_3,social_anxiety_4,social_anxiety_5,social_anxiety_6,social_anxiety_7,social_anxiety_8,social_anxiety_9,social_anxiety_10,rcads_1,rcads_2,rcads_3,sdq_1,sdq_2,sdq_3,sdq_4,sdq_5,sdq_6,sdq_7,school_bully_freq_1,school_bully_freq_2,school_bully_freq_3,school_bully_freq_4,school_bully_freq_5,school_bully_freq_6,school_bully_freq_7,school_bully_upset_1,school_bully_upset_2,school_bully_upset_3,school_bully_upset_4,school_bully_upset_5,school_bully_upset_6,school_bully_upset_7,outside_bully_freq_1,outside_bully_freq_2,outside_bully_freq_3,outside_bully_freq_4,outside_bully_freq_5,outside_bully_freq_6,outside_bully_freq_7,outside_bully_upset_1,outside_bully_upset_2,outside_bully_upset_3,outside_bully_upset_4,outside_bully_upset_5,outside_bully_upset_6,outside_bully_upset_7,policy_impact_1,policy_impact_2,policy_impact_3,policy_impact_4,policy_impact_5,policy_impact_6,policy_impact_7,policy_impact_8,policy_impact_9,policy_impact_10,policy_impact_11,policy_impact_12,policy_impact_13,policy_impact_14,policy_impact_15,policy_impact_16,policy_impact_17,policy_changes_open,grade,ell,iep,gender,gender_3_TEXT,race,optional_comments,other_comments
Response ID,Distribution Channel,User Language,Do you have a cell phone?,Is it a smartphone with apps and access to the internet?,"Do you feel you can contact your parent(s) in a timely manner when you need to during the school
day?","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Phone","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Tablet","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Laptop","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Smartwatch","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Other device","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - Do you bring this device to school? - Other device - Text","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Phone","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Tablet","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Laptop","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Smartwatch","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Other device","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for school purposes, like classwork? - Other device - Text","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Phone","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Tablet","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Laptop","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Smartwatch","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Other device","For each of the following devices you own, please answer “yes” or “no” about whether you bring it... - If you bring the device to school, do you use it for personal reasons, like social media or talking to friends? - Other device - Text","On an average school day (from when you arrive at school to when you leave), how much time do you... - Hours - Time spent","On an average school day (from when you arrive at school to when you leave), how much time do you... - Minutes - Time spent","On a scale of 1-5, please rate your agreement with this statement: “I feel worried about missing
out on things when I don’t have access to my phone.” (1 = Strongly disagree to 5 = Strongly agree)",Do you have a job?,"If you have a job outside of school, around how many times does your boss/supervisor contact you
through your mobile phone each week during the school day? - Number of times per week:","During a single school day, around how many times do your parents contact you through your mobile phone? - Number of times per day:","Under your school's phone policy, when are students allowed to use their phones at school? Select all that appy. - Selected Choice","Under your school's phone policy, when are students allowed to use their phones at school? Select all that appy. - Other - Text",How does your school restrict access to phones? - Selected Choice,How does your school restrict access to phones? - Other - Text,How satisfied are you with your school's phone policy?,How consistently do teachers and staff enforce your school's cell phone policy? Give your best guess.,"What percentage of your classmates are breaking the rules and using their phone when they
shouldn’t be? Give your best guess.","In your opinion, should your school's cell phone policy be more or less restrictive than it is now?","Overall, how would you say this new phone policy has changed your school?","In the following set of questions, we will ask about how you view your school experience. - In general, I pay attention in class.","In the following set of questions, we will ask about how you view your school experience. - I feel like this school is the right place for me.","In the following set of questions, we will ask about how you view your school experience. - In class, I often pretend to be working when I’m not.","In the following set of questions, we will ask about how you view your school experience. - In school, I do just enough to get by.","In the following set of questions, we will ask about how you view your school experience. - I think the things I learn at school are useless.",My school is a place where... - I feel like an outsider (or left out of things).,My school is a place where... - I make friends easily.,My school is a place where... - I feel like I belong.,My school is a place where... - I feel awkward and out of place.,My school is a place where... - Other students seem to like me.,My school is a place where... - I often feel lonely.,My school is a place where... - My teachers really try to help me.,My school is a place where... - I get the emotional help and support I need from my school’s staff.,My school is a place where... - My friends really try to help me.,My school is a place where... - I can count on my friends when things go wrong.,My school is a place where... - I can talk about my problems with my teachers.,My school is a place where... - I have friends with whom I can share my joys and sorrows.,My school is a place where... - My teachers are willing to help me make decisions.,My school is a place where... - I can talk about my problems with my friends.,"For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - My friends at school and I spend all our free time together.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - Sometimes my friends at school and I just sit around and talk about things like school, sports, and things we like.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - I get into fights with my friends at school.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - If I forgot my lunch or needed a little money, my friends at school would help me out.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - If other kids were bothering me, my friends at school would help me.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - If I have a problem at school or at home, I can talk to my friends about it.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - If my friends had to move away, I would miss them.","For each of the following statements, please select the option that best captures how you feel about your
relationships with your friends at school. Think about each question carefully and be sure that you rate your
friendships according to the way they are now, not according to how you want them to be. - When I do a good job at something, my friends at school are happy for me.",How much of lunchtime do you spend talking with your friends in-person?,"How many times do you typically go to the bathroom during the school day, excluding lunch/recess? - Number of times:",What are your main reasons for going to the bathroom during the school day? Please check all that apply. - Selected Choice,What are your main reasons for going to the bathroom during the school day? Please check all that apply. - Other reason - Text,"On average, how long do you sleep for per night? (in hours) - Hours of Sleep","Overall, how would you rate the quality of your sleep?","In the past two weeks (14 days), how on how many days have you slept poorly?","During the past 7 days, on how many days were you physically active for a total of at least 60
minutes per day? (Add up all the time you spent in any kind of physical activity that increased your heart rate
and made you breathe hard some of the time.)","During the past 12 months, on how many sports teams did you play? (Count any teams run by your school or community groups.)","For each of the following statements, please select the option that best captures how you feel. - Overall, I am happy with myself.","For each of the following statements, please select the option that best captures how you feel. - I have a positive attitude toward myself.","For each of the following statements, please select the option that best captures how you feel. - I can do a lot of things just as well as most other people.","For each of the following statements, please select the option that best captures how you feel. - In most ways my life is close to my ideal.","For each of the following statements, please select the option that best captures how you feel. - I am satisfied with my life.","For each of the following statements, please select the option that best captures how you feel. - The conditions of my life are excellent.",Please rate your agreement with the following statements. - I feel that classmates are making fun of me.,Please rate your agreement with the following statements. - I worry about what my classmates think of me.,Please rate your agreement with the following statements. - I'm afraid that my classmates will not like me.,Please rate your agreement with the following statements. - I feel that my classmates talk about me behind my back.,Please rate your agreement with the following statements. - I feel shy around students I don't know.,Please rate your agreement with the following statements. - I get nervous when I talk to new classmates.,Please rate your agreement with the following statements. - I feel nervous when I'm around certain classmates.,Please rate your agreement with the following statements. - It's hard for me to ask other classmates to play/hang out with me.,Please rate your agreement with the following statements. - I feel shy even with classmates I know very well.,Please rate your agreement with the following statements. - I'm afraid to invite my classmates to my house because they might say no.,"In the past four weeks, how often have you experienced the following? - I have no energy for things.","In the past four weeks, how often have you experienced the following? - I feel sad or empty.","In the past four weeks, how often have you experienced the following? - I feel worthless.",Please rate your agreement with the following statements. - I am often accused of lying or cheating.,Please rate your agreement with the following statements. - I fight a lot.,Please rate your agreement with the following statements. - I can make other people do what I want.,"Please rate your agreement with the following statements. - I take things that are not mine from home, school or elsewhere.","Please rate your agreement with the following statements. - I am restless, I cannot stay still for long.",Please rate your agreement with the following statements. - I am constantly fidgeting or squirming.,"Please rate your agreement with the following statements. - I am easily distracted, I find it difficult to concentrate.","In recent weeks, how often have you experienced the following DURING school hours? - Someone teased you or called you names.","In recent weeks, how often have you experienced the following DURING school hours? - Someone deliberately left you out of things.","In recent weeks, how often have you experienced the following DURING school hours? - Someone threatened you.","In recent weeks, how often have you experienced the following DURING school hours? - Someone physically hurt you.","In recent weeks, how often have you experienced the following DURING school hours? - A student told lies about you in texts or online to make others not like you.","In recent weeks, how often have you experienced the following DURING school hours? - A student said online that they won't like you unless you do what they want you to do.","In recent weeks, how often have you experienced the following DURING school hours? - Another student tried to keep others from liking you by texting or posting mean things about you.",How upsetting was it to be bullied in these ways DURING school hours? - Someone teased you or called you names.,How upsetting was it to be bullied in these ways DURING school hours? - Someone deliberately left you out of things.,How upsetting was it to be bullied in these ways DURING school hours? - Someone threatened you.,How upsetting was it to be bullied in these ways DURING school hours? - Someone physically hurt you.,How upsetting was it to be bullied in these ways DURING school hours? - A student told lies about you in texts or online to make others not like you.,How upsetting was it to be bullied in these ways DURING school hours? - A student said online that they won't like you unless you do what they want you to do.,How upsetting was it to be bullied in these ways DURING school hours? - Another student tried to keep others from liking you by texting or posting mean things about you.,"In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - Someone teased you or called you names.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - Someone deliberately left you out of things.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - Someone threatened you.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - Someone physically hurt you.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - A student told lies about you in texts or online to make others not like you.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - A student said online that they won't like you unless you do what they want you to do.","In recent weeks, how often have you experienced the following OUTSIDE OF school hours? - Another student tried to keep others from liking you by texting or posting mean things about you.",How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - Someone teased you or called you names.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - Someone deliberately left you out of things.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - Someone threatened you.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - Someone physically hurt you.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - A student told lies about you in texts or online to make others not like you.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - A student said online that they won't like you unless you do what they want you to do.,How upsetting was it to be bullied in these ways OUTSIDE OF school hours? - Another student tried to keep others from liking you by texting or posting mean things about you.,"We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have focused better in class.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have had fewer distractions.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have developed better social skills.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt closer to my friends.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt more left out or excluded.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt more anxious without my phone.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have talked to more people during lunch or breaks.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt less pressure to check my phone.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have gotten into trouble less often.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have been involved in less social drama at school.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - My grades have improved.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have been less likely to cheat.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have spent less time on my phone.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have been bullied more.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt less stressed.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have used my phone more before and after school.","We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - Nothing has really changed for me.",Are there any other changes you think the new phone policy has led to that we didn’t mention above?,What grade are you in?,Are you an English Language Learner (ELL)?,Do you have an Individualized Education Plan (IEP)? This is a plan or program for students with disabilities to receive special education.,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your race? (Mark all that apply.),Please share any other thoughts you have about your school's phone policy.,Is there anything else you want to share with us?
R_4Z2Uj4d3TQuSv8G,test,,1,1,2,0,0,0,0,0,"Ante mattis nulla. Atque quam mattis curabitur praesent, id laoreet.",1,0,0,0,0,Vel ullamcorper temporibus eu blandit accumsan. Vulputate mauris duis vivamus eros fermentum interdum per.,0,0,0,0,1,Mattis porttitor. Rhoncus? Aliquam auctor pellentesque iaculis fringilla felis cras massa. Posuere tempora ullamcorper facilisi.,18,3,1,1,407619389,176270612,7,,10,,10,100,10,3,It’s quieter in class now and people actually pay attention more.,4,3,1,3,5,5,4,4,2,5,5,2,3,1,1,3,3,4,5,3,4,3,5,5,1,4,3,4,1525931698,3,,3,4,5,5,3,4,2,5,1,5,4,8,4,3,8,3,4,4,3,3,8,3,1,5,1,3,1,3,3,1,2,5,7,10,10,10,7,10,2,3,4,3,2,2,3,10,7,6,6,10,7,5,1,1,2,3,4,4,2,5,1,3,5,3,5,2,5,5,2,6,2,6,2,5,5,5,"Aliquam velit accusamus lorem accusamus mauris platea, sit blandit iaculis primis luctus eu. Morbi.",5,1,,4,,"1,2,3,4,5,6","Iaculis elementum metus vivamus. Tempus bibendum blandit ipsum molestie. Eu! Malesuada, ligula.",Accusamus faucibus ab vehicula. Leo nulla? Tempus arcu suspendisse vehicula suspendisse.
R_0HQxHTxPmhPoecm,test,,1,1,2,1,0,1,1,0,Fringilla! Enim arcu in dui. Eget vel suscipit odio massa.,1,0,0,1,0,Placerat dapibus egestas pede magna! Pede! Mattis consequat. Rhoncus consectetuer risus integer est urna.,1,1,0,1,0,Montes ipsum ab elementum sagittis dignissim aenean velit. Praesent euismod? Diam diam cursus magnis suscipit.,9,2,4,2,46749292,787156495,6,,11,,90,40,20,2,I feel less distracted but I miss checking in with my friends during breaks.,1,3,2,4,1,5,5,5,1,5,5,5,3,5,1,3,4,3,4,5,2,2,3,5,5,3,5,4,44781336,5,,10,4,13,9,5,3,1,1,3,2,2,8,3,4,3,2,3,1,8,8,2,2,1,4,2,3,1,1,1,3,2,10,6,5,5,7,7,5,1,2,2,4,4,1,2,6,6,5,10,6,7,10,2,1,3,3,3,2,2,1,3,2,1,6,3,2,6,6,1,5,3,5,5,6,1,5,"Id iaculis, viverra volutpat lorem temporibus suspendisse fringilla enim wisi dolor odio ut sagittis maecenas.",6,2,,4,,"2,4,5",Lectus nec culpa commodo posuere nonummy diam nulla justo convallis metus enim ante id.,Natoque eros. Vivamus dui erat magna ultricies eros consectetuer ultrices sodales.
R_5pAQzACIBNlgRQG,test,,4,,2,0,0,0,0,0,A gravida. Aenean urna ullamcorper est ante morbi velit at dignissim erat sodales porta. Sem.,0,0,0,0,1,Purus morbi volutpat faucibus euismod consequat mauris praesent leo porttitor nulla.,1,1,0,0,1,"Ligula lectus morbi ultricies urna sed iaculis consectetuer facilisi amet eget, commodo.",,,,,,,10,"Nibh aliquet purus? Proin non faucibus in porta, ut accumsan in malesuada curabitur.",1,,40,0,70,3,Teachers seem happier since people aren’t sneaking phones as much.,5,4,3,3,3,3,2,1,2,3,3,4,1,5,5,5,2,1,1,5,3,2,3,3,1,5,4,3,1324922301,1,,11,4,9,9,2,1,2,5,2,2,5,2,2,8,3,1,3,3,4,1,4,5,1,5,2,3,3,3,2,1,1,5,5,7,5,5,5,5,2,1,2,1,3,1,3,5,7,6,5,10,10,7,1,1,4,2,4,3,3,6,6,6,1,6,6,6,3,2,3,1,2,5,2,5,5,2,Elementum vel sagittis est felis bibendum gravida nonummy lectus! Vivamus.,3,1,4,3,Nullam et cras dignissim gravida quam phasellus interdum velit viverra ligula nulla.,"2,4",At erat molestie magnis sodales? Culpa. Justo suspendisse lacus praesent! Pede.,Nunc lacus phasellus etiam. Pede bibendum placerat temporibus wisi. Consequat risus dolorem.
R_1Bq2CHij9C4ElG6,test,,1,2,1,1,0,1,0,0,"Ultricies neque luctus magnis posuere at, erat risus molestie enim fringilla enim leo. Interdum magnis.",1,0,1,1,1,"Urna iaculis mauris. Tempora, elementum, phasellus natoque lectus fringilla maecenas maecenas donec! Dignissim sem imperdiet.",1,1,1,1,0,Massa a urna non? Nibh platea pretium luctus odio faucibus.,15,3,5,1,1274517674,255808829,5,,11,,50,80,80,7,"Honestly, I think it’s unfair. Sometimes I need my phone to calm down.",2,4,4,3,2,1,2,4,5,3,3,2,4,4,5,3,4,5,4,5,2,1,2,2,4,3,5,1,741503203,1,,2,4,10,5,4,4,5,1,4,3,3,1,2,1,8,4,2,4,1,8,1,1,5,3,1,1,1,2,3,1,3,6,7,7,10,6,6,7,3,3,1,3,1,2,3,6,6,6,10,5,5,7,2,4,4,2,1,1,1,5,2,3,6,3,3,3,2,6,5,5,5,1,6,3,6,3,Dolor fusce nonummy lacus ab sem? Temporibus? Dignissim laoreet? Ac accumsan porta leo.,2,,,2,,"1,2,3,4,5,6",Leo! Potenti leo! Nullam. Neque enim elit aliquet eleifend! Posuere donec.,Non non ac porta praesent platea facilisi blandit facilisis nibh.
R_0OZSzNdq0fDUJgy,test,,2,,1,1,0,1,0,0,Aliquam velit natoque gravida orci nulla. Tortor porta. Fermentum sollicitudin eu. Ultricies tempor.,1,1,0,1,1,"Ullamcorper pellentesque mi risus fringilla consectetuer venenatis suspendisse, accusamus malesuada porttitor praesent id.",0,0,0,1,1,"Pretium sem vel aliquet, temporibus wisi nulla temporibus, eu elit mi eget aliquam blandit? Gravida.",,,,,,,7,,15,"Facilisi nibh non viverra tempus fringilla nulla mauris sapien morbi et neque, velit.",20,30,80,4,"I like that lunch is more socail now, ppl actually talk.",4,3,2,4,4,5,1,5,2,4,3,2,4,4,5,1,1,3,2,3,3,4,4,5,4,3,1,1,972935372,3,,12,1,4,6,3,2,5,2,5,3,5,1,2,4,1,3,4,2,3,2,1,5,2,5,3,1,3,1,2,3,3,10,10,7,7,5,5,10,2,3,1,2,2,4,1,6,7,6,7,7,5,6,2,3,2,4,2,4,3,1,6,2,3,2,6,2,6,2,2,5,1,2,6,3,6,6,"Aliquam molestie nulla, ut ut dapibus viverra dictumst lorem. Rutrum interdum gravida amet! Ridiculus.",4,,,4,,"1,2,3","Nec! Tellus! Nec duis duis, mi sagittis mattis risus! Gravida ullamcorper vulputate mauris dapibus vitae.",Eros nonummy proin orci gravida integer leo vitae eros? Primis cras.
R_a9pi4uJS8jEuBfw,test,,2,,1,1,1,1,1,0,"Posuere sit. Proin vel. Eu massa, magnis pretium nibh phasellus suspendisse ultricies? Convallis rhoncus.",0,0,0,1,0,Nulla temporibus nonummy augue integer! Vehicula turpis per accumsan eu orci. Quam.,0,0,1,1,1,Fringilla mauris magnis aliquam integer eros. Est tortor rhoncus rutrum sagittis arcu leo! Dolor.,,,,,,,8,,13,,30,70,30,3,"It hasn’t changed much, people just hide their phones better.",4,3,1,3,1,2,5,3,2,3,5,2,5,3,1,2,3,4,3,1,2,5,5,1,5,1,1,1,602845460,1,,13,1,12,6,4,1,1,5,4,4,2,2,2,1,1,8,4,8,3,3,3,5,2,2,1,3,1,3,1,2,3,5,7,10,10,10,7,7,1,1,4,3,1,2,2,6,5,10,5,5,10,7,4,3,3,3,2,4,3,6,3,6,5,3,3,3,2,5,2,5,2,6,2,3,2,5,"Felis sollicitudin faucibus, erat urna? Consectetuer gravida. Orci tincidunt molestie felis eu lorem volutpat sagittis.",2,1,4,3,"Luctus? Placerat interdum mauris magna, morbi. Dictumst ac purus. Potenti.",3,Quis euismod vel non tincidunt leo suspendisse ante faucibus potenti.,"Per pede consectetuer, id aenean ac duis consectetuer arcu? Laoreet natoque."
R_9mIQp0rnmaDnJGK,test,,2,,1,1,0,0,0,1,"Vel nonummy non! Fermentum etiam montes natoque arcu quis, consectetuer purus arcu.",1,0,1,0,1,Amet. Vulputate sagittis. Blandit sollicitudin? Risus ut sed viverra tempor dictumst! Sollicitudin nec nunc sollicitudin.,1,1,1,0,1,Justo quis praesent orci sapien lectus. Pellentesque malesuada quis gravida.,,,,,,,8,,11,,60,70,60,5,"The school feels stricter, which I don’t love.",3,5,3,3,3,5,4,5,5,1,2,3,2,3,1,4,3,4,4,5,1,4,3,4,5,2,5,2,1070100306,6,"Ut orci quam ac cras, temporibus felis temporibus sit natoque vehicula? Imperdiet ut vitae arcu.",0,3,2,11,1,3,4,2,4,3,5,3,8,1,2,3,3,2,1,2,2,5,3,5,2,2,1,2,2,1,3,6,5,7,6,6,10,10,3,2,2,1,2,2,2,6,10,5,10,5,10,6,4,3,1,2,1,2,3,1,1,2,6,2,6,2,5,3,6,2,5,5,5,2,3,5,"Molestie aenean ab volutpat posuere accumsan ipsum enim cursus laoreet sapien quam lorem, amet.",2,1,,2,,3,Cras praesent cursus laoreet! Morbi pretium orci cras! Gravida orci.,"Dui aliquet phasellus nibh aliquam integer imperdiet rutrum, urna maecenas! Ultrices temporibus."
R_d4N5bQ6H8KU8dT0,test,,1,2,2,0,1,1,1,1,Ultrices porta. Faucibus mauris gravida vulputate pede! Egestas curabitur erat euismod at.,0,1,0,0,0,Pretium? Rutrum. Lorem consectetuer pellentesque praesent. Facilisi quam molestie. Lectus? Dolor a duis.,1,1,0,1,0,Porta porttitor sodales velit tortor curabitur nunc erat sapien quis facilisis? Ultricies imperdiet est.,17,1,5,1,1309234274,110774140,7,,13,,0,20,70,5,My grades have gone up because I’m not scrolling in class.,2,3,2,4,5,5,1,1,4,5,3,1,2,3,2,5,5,4,2,4,2,4,5,5,2,5,4,4,223291920,2,,10,2,4,7,3,1,4,1,4,5,4,1,4,1,8,1,3,3,1,2,1,2,1,3,2,3,2,1,3,3,1,7,10,5,6,6,7,7,4,1,3,1,2,4,3,5,7,7,7,6,7,6,2,1,2,4,1,3,4,2,1,6,3,5,5,3,5,1,3,1,1,6,1,5,2,6,"Eros et! Sollicitudin lectus. Dictumst elit elit amet etiam, tempus.",1,4,1,1,,1,"Curabitur donec montes dolor etiam? Duis ullamcorper, montes consequat etiam nulla cras vehicula rhoncus.","Eros ultrices consectetuer tempor dui platea? Aliquet ligula vel faucibus, nibh nibh eu."
R_abN3EtOiVAYYRFA,test,,2,,1,0,0,1,0,1,Scelerisque porta luctus enim rutrum molestie rhoncus dictumst sed porta sollicitudin.,0,1,0,0,1,Ultrices sit morbi? Mauris? Facilisi imperdiet? Imperdiet culpa! Turpis vestibulum.,0,1,0,1,1,Vulputate culpa aenean suspendisse at? Fermentum nulla dapibus lorem viverra odio.,,,,,,,6,,14,,40,70,0,1,"Kids are still on their phones in the bathroom, so it didn’t really work.",4,3,3,2,4,4,2,4,5,1,5,2,3,2,5,1,1,5,1,2,1,4,5,3,5,5,4,2,1948237572,6,Convallis. Temporibus dui posuere a. Est eu facilisis arcu arcu tellus. Donec. Urna diam ultricies.,12,3,6,11,2,5,1,2,1,1,2,8,3,4,4,8,4,4,1,8,4,2,3,1,1,3,3,1,3,2,1,10,5,7,7,10,7,10,4,3,4,4,1,4,3,10,5,6,10,10,10,5,2,2,2,2,4,2,4,6,5,2,6,3,5,6,2,3,3,1,3,2,5,5,5,1,Felis convallis? Pretium sagittis posuere felis montes turpis facilisis felis porta ac.,5,,,3,Molestie est vehicula ante nec duis! Leo ullamcorper enim metus cras malesuada praesent duis.,"1,2,3,4,5,6",Diam ipsum euismod. Porttitor magnis metus blandit. Ac eleifend! Nec. Mi! Ut! Luctus accusamus accumsan.,Aliquam posuere donec. Urna bibendum duis gravida? Praesent vitae amet viverra.
